Entry	Entry name	Gene names	Cross-reference (GeneID)
P00950	PMG1_YEAST	GPM1 GPM YKL152C YKL607	853705;
P23301	IF5A1_YEAST	HYP2 TIF51A YEL034W SYGP-ORF21	856677;
Q02890	PNG1_YEAST	PNG1 YPL096W	856009;
Q06417	TDA5_YEAST	TDA5 YLR426W	851146;
P38231	FMP23_YEAST	FMP23 YBR047W YBR0422	852336;
P53144	YGK1_YEAST	YGK1 YGL101W	852777;
P38439	LEO1_YEAST	LEO1 YOR123C O3278 YOR3278C	854290;
P04147	PABP_YEAST	PAB1 YER165W	856912;
Q08278	MED7_YEAST	MED7 YOL135C	853985;
Q06346	KEI1_YEAST	KEI1 YDR367W	851973;
P53855	ATG2_YEAST	ATG2 APG2 AUT8 SPO72 YNL242W N1106	855479;
Q03455	MSC2_YEAST	MSC2 YDR205W YD8142.02	851786;
Q08732	HRK1_YEAST	HRK1 YOR267C	854441;
P06843	SPT2_YEAST	SPT2 SIN1 SPM2 YER161C	856908;
P38276	YBY7_YEAST	YBR137W YBR1013	852434;
P28627	IMP1_YEAST	IMP1 PET2858 YMR150C YM9375.20C	855182;
P14742	GFA1_YEAST	GFA1 YKL104C YKL457	853757;
P40036	GIP2_YEAST	GIP2 YER054C	856781;
Q12102	CFT2_YEAST	CFT2 YDH1 YLR115W L2946	850806;
Q06648	GIC2_YEAST	GIC2 YDR309C D9740.18	851904;
P00958	SYMC_YEAST	MES1 YGR264C	853181;
P53267	DAM1_YEAST	DAM1 YGR113W G6153	853010;
P53390	MEP3_YEAST	MEP3 AMT3 YPR138C P9659.14	856260;
P40884	IMA5_YEAST	IMA5 YJL216C HRF581 J0228	853214;
P36117	ALY1_YEAST	ALY1 ART6 YKR021W	853891;
Q3E829	CENPX_YEAST	MHF2 YDL160C-A	1466431;
P40413	TCPE_YEAST	CCT5 TCP5 YJR064W J1752	853527;
P53279	FHN1_YEAST	FHN1 YGR131W	853032;
P41734	IAH1_YEAST	IAH1 EST2 YOR126C O3287 YOR3287C	854293;
Q12270	RBD2_YEAST	RBD2 YPL246C	855830;
P08067	UCRI_YEAST	RIP1 YEL024W	856689;
Q07930	PML1_YEAST	PML1 YLR016C L1591	850703;
P52553	PFD6_YEAST	YKE2 GIM1 PFD6 YLR200W L8167.8	850897;
Q08826	SNX3_YEAST	SNX3 GRD19 YOR357C	854539;
P23250	RPI1_YEAST	RPI1 YIL119C	854687;
P38826	ORC6_YEAST	ORC6 AAP1 YHR118C	856518;
P43599	YFI8_YEAST	YFR018C	850573;
P40476	PRM5_YEAST	PRM5 YIL117C	854689;
Q03434	YM12B_YEAST	TY1B-ML2 YMLWTy1-2 POL YML039W YM8054.04	854969;
P33760	PEX6_YEAST	PEX6 PAS8 YNL329C N0310	855387;
P37012	PGM2_YEAST	PGM2 GA-5 GAL5 YMR105C YM9718.04C	855131;
P53227	YG1T_YEAST	YGR042W	852933;
Q12215	WSC3_YEAST	WSC3 YOL105C HRE556	854046;
P23201	SPA2_YEAST	SPA2 PEA1 YLL021W L1209	850639;
P32474	EUG1_YEAST	EUG1 YDR518W D9719.23	852130;
P42940	ETFB_YEAST	CIR1 YGR207C G7742	853121;
P25586	KRR1_YEAST	KRR1 YCL059C YCL59C	850298;
P11978	SIR4_YEAST	SIR4 ASD1 STE9 UTH2 YDR227W YD9934.12	851813;
P38305	AIM4_YEAST	AIM4 SOY1 YBR194W YBR1404	852493;
P53889	FMP41_YEAST	FMP41 YNL168C N1696	855553;
P39967	UBP9_YEAST	UBP9 YER098W	856835;
P40416	ATM1_YEAST	ATM1 MDY YMR301C YM9952.03C	855347;
P53754	YN97_YEAST	YNR068C N3551	855805;
P25593	YCG8_YEAST	YCL068C YCL68C	850291;
P32353	ERG3_YEAST	ERG3 PSO6 SYR1 YLR056W L2150	850745;
Q12420	SNU66_YEAST	SNU66 YOR308C 05667	854485;
P36007	LTHAD_YEAST	SRY1 YKL218C	853662;
Q07729	GUAD_YEAST	GUD1 YDL238C	851360;
P38335	MTC4_YEAST	MTC4 YBR255W YBR1723	852557;
Q12259	YL108_YEAST	YLR108C L2913	850798;
P38710	INM1_YEAST	INM1 IMP1 YHR046C	856442;
P31109	SNC1_YEAST	SNC1 YAL030W	851203;
P36115	IRS4_YEAST	IRS4 YKR019C	853889;
Q12132	USV1_YEAST	USV1 NSF1 YPL230W P1421	855871;
P40960	PAC11_YEAST	PAC11 YDR488C	852099;
P32785	FMT_YEAST	FMT1 YBL013W YBL0311 YBL0313	852270;
P36078	HOT13_YEAST	HOT13 YKL084W	853778;
Q92331	VPS5_YEAST	VPS5 GRD2 PEP10 VPT5 YOR069W YOR29-20	854235;
P0CX49	RL18A_YEAST	RPL18A RP28A YOL120C	854029;855415;
P0CX50	RL18B_YEAST	RPL18B RP28B YNL301C N0425	854029;855415;
P50896	PSP1_YEAST	PSP1 GIN5 YDR505C D9719.11	852116;
P07342	ILVB_YEAST	ILV2 SMR1 YMR108W YM9718.07	855135;
P33302	PDR5_YEAST	PDR5 LEM1 STS1 YDR1 YOR153W	854324;
Q04199	CAC2_YEAST	CAC2 YML102W	854869;
Q06251	YL177_YEAST	YLR177W	850874;
P32891	DLD1_YEAST	DLD1 DLD YDL174C	851380;
Q01852	TIM44_YEAST	TIM44 ISP45 MIM44 MPI1 YIL022W	854790;
P41912	ERFD_YEAST	SHR5 ERF4 YOL110W HRC237	854039;
Q12085	YG11A_YEAST	TY1A-GR1 YGRWTy1-1 GAG YGR027W-A G4052	852912;
P13587	ATN1_YEAST	ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C	851610;
Q12048	ATG41_YEAST	ATG41 ICY2 YPL250C	855825;
Q04895	DAL4_YEAST	DAL4 YIR028W	854846;
P46969	RPE_YEAST	RPE1 EPI1 POS18 YJL121C J0731	853322;
Q2V2Q3	YB201_YEAST	YBR201C-A	3799967;
P38891	BCA1_YEAST	BAT1 ECA39 TWT1 YHR208W	856615;
P37303	GLY1_YEAST	GLY1 YEL046C SYGP-ORF34	856665;
P36006	MYO3_YEAST	MYO3 YKL129C	853729;
Q99394	TRS33_YEAST	TRS33 YOR115C O3251 YOR3251C	854282;
P33412	ECT1_YEAST	ECT1 MUQ1 YGR007W G3856	852890;
P32799	COX13_YEAST	COX13 YGL191W G1341	852684;
P35191	MDJ1_YEAST	MDJ1 YFL016C	850530;
P35994	PAU16_YEAST	PAU16 YKL224C	853656;
P40968	PRP17_YEAST	CDC40 PRP17 SLU4 XRS2 YDR364C D9481.11	851968;
Q03012	SPP1_YEAST	SPP1 CPS40 SAF41 YPL138C	855965;
P53966	KTR5_YEAST	KTR5 YNL029C N2755	855703;
Q08280	BSC6_YEAST	BSC6 YOL137W	853983;
P39933	TF3A_YEAST	PZF1 TFC2 TFIIIA YPR186C P9677.9	856316;
P22516	CHL1_YEAST	CHL1 CTF1 YPL008W YP8132.05	856099;
P36149	BET3_YEAST	BET3 YKR068C	853942;
P38081	YBQ6_YEAST	YBR056W YBR0510	852346;
P38338	YB9F_YEAST	YBR259W YBR1727	852562;
P25365	SED4_YEAST	SED4 YCR067C YCR67C YCR901	850431;
P38151	PBP2_YEAST	PBP2 YBR233W YBR1531	852533;
P38331	YB92_YEAST	YBR242W YBR1627	852544;
P53334	SCW4_YEAST	SCW4 YGR279C	853196;
P40510	SER33_YEAST	SER33 YIL074C	854736;
P38302	NTC20_YEAST	NTC20 SNT384 YBR188C YBR1316	852486;
P38263	GID4_YEAST	VID24 GID4 YBR105C YBR0834	852402;
P49367	LYS4_YEAST	LYS4 LYS3 YDR234W YD8419.01 YD9934.18	851820;
P39003	HXT6_YEAST	HXT6 YDR343C D9651.12	851944;
P36169	SKG1_YEAST	SKG1 YKR100C YKR099C-A	853975;
Q12056	ISU2_YEAST	ISU2 NUA2 YOR226C	854401;
P16862	PFKA2_YEAST	PFK2 YMR205C YM8325.06C	855245;
P32832	RSC7_YEAST	NPL6 RSC7 YMR091C YM9582.16C	855116;
Q08952	OXR1_YEAST	OXR1 YPL196W	855905;
P38927	REV7_YEAST	REV7 YIL139C	854667;
Q03124	RSC9_YEAST	RSC9 YML127W YM4987.08	854912;
P11972	SST2_YEAST	SST2 YLR452C L9324.9	851173;
P40508	PUP1_YEAST	YIL077C	854733;
P40850	MKT1_YEAST	MKT1 YNL085W N2302	855639;
P38069	MNN2_YEAST	MNN2 CRV4 LDB8 TTP1 YBR015C YBR0220	852303;
P48164	RS7B_YEAST	RPS7B YNL096C N2212	855628;
Q12233	ATPN_YEAST	ATP20 YPR020W YP9531.14	856131;
Q01684	SPR6_YEAST	SPR6 YER115C	856851;
P53632	PAP2_YEAST	PAP2 TRF4 YOL115W HRC584 O0716	854034;
P0C2J4	YL21A_YEAST	TY2A-LR1 YLRWTy2-1 GAG YLR410W-A L9931.7b	851127;
Q00723	PRP38_YEAST	PRP38 YGR075C	852966;
Q03034	FDC1_YEAST	FDC1 YDR539W D3703.2	852152;
P39692	MET10_YEAST	MET10 YFR030W	850588;
Q12150	CSF1_YEAST	CSF1 YLR087C	850776;
P18634	ART10_YEAST	ART10 YLR392C L8084.13	851108;
P35206	CSG2_YEAST	CSG2 CLS2 YBR036C YBR0404	852324;
P38172	MRX3_YEAST	MRX3 YBL095W YBL0835	852181;
P41544	SYS1_YEAST	SYS1 YJL004C J1402 YJR83.17	853453;
Q02895	AAD16_YEAST	AAD16 YPL088W	856017;
P38265	CENPL_YEAST	IML3 MCM19 YBR107C YBR0836	852404;
P46992	YJR1_YEAST	YJL171C J0512	853268;
P36167	SRL3_YEAST	SRL3 YKR091W YKR411	853966;
P38225	FAT1_YEAST	FAT1 YBR041W YBR0411	852329;
P48569	YD183_YEAST	YDL183C D1293	851345;
P30777	GPI10_YEAST	GPI10 YGL142C	852735;
P29366	BEM1_YEAST	BEM1 SRO1 YBR200W YBR1412	852499;
P53727	BUD17_YEAST	BUD17 YNR027W N3250	855761;
Q07657	SHS1_YEAST	SHS1 SEP7 YDL225W	851373;
P23255	TAF2_YEAST	TAF2 TAF150 TSM1 YCR042C YCR42C YCR724	850409;
Q06010	STE23_YEAST	STE23 YLR389C L8084.12	851105;
P38243	YBS1_YEAST	YBR071W YBR0712	852363;
Q8TGT4	YH213_YEAST	YHR213W-A	1466532;
P38165	RTG3_YEAST	RTG3 YBL103C YBL0810	852171;
Q3E784	SLO1_YEAST	SLO1 YER180C-A	856928;
P38426	TPS3_YEAST	TPS3 YMR261C YM8156.03C	855303;
P28742	KIP1_YEAST	KIP1 CIN9 YBL063W YBL0504 YBL0521	852216;
Q03096	EST3_YEAST	EST3 YIL009C-A	854806;
Q06505	IWS1_YEAST	SPN1 IWS1 YPR133C	856251;
Q08230	SDHF2_YEAST	SDH5 EMI5 YOL071W	854083;
P06782	SNF1_YEAST	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	852088;
P38717	SIP3_YEAST	SIP3 LAM3 YNL257C N0844	855464;
P07172	HIS8_YEAST	HIS5 YIL116W	854690;
Q06489	MTNA_YEAST	MRI1 YPR118W P9642.7	856234;
P53629	ARE2_YEAST	ARE2 SAT1 YNR019W N3206	855753;
P38127	RIM2_YEAST	RIM2 YBR192W YBR1402	852491;
P50087	MIC26_YEAST	MIC26 MCS29 MIO27 MOS2 YGR235C G8575	853150;
P47088	GPI14_YEAST	GPI14 PMH1 YJR013W J1444 YJR83.11	853470;
P53163	MNP1_YEAST	MNP1 MRPL12 YGL068W	852811;
Q12134	HUA2_YEAST	HUA2 YOR284W	854458;
Q12200	NPC1_YEAST	NCR1 YPL006W	856101;
Q03018	ESP1_YEAST	ESP1 YGR098C	852990;
P38207	APN2_YEAST	APN2 ETH1 YBL019W YBL0443	852262;
Q08723	RPN8_YEAST	RPN8 YOR261C O5360	854435;
P53940	APJ1_YEAST	APJ1 YNL077W N2342	855647;
P25568	ATG22_YEAST	ATG22 AUT4 YCL038C YCL38C	850319;
P53378	TBG_YEAST	TUB4 YLR212C L8167.21	850909;
P18961	YPK2_YEAST	YPK2 YKR2 YMR104C YM9718.03C	855130;
Q08409	AUS1_YEAST	AUS1 YOR011W	854175;
P53847	DSL1_YEAST	DSL1 YNL258C N0842	855463;
Q99231	YD12B_YEAST	TY1B-DR3 YDRCTy1-2 POL YDR210C-D YD8142B.01	851794;
Q04437	KU80_YEAST	YKU80 HDF2 YMR106C YM9718.05C	855132;
Q04949	DYN3_YEAST	DYN3 YMR299C YM9952.01C	855345;
Q12458	YPR1_YEAST	YPR1 YDR368W D9481.8	851974;
P40555	PSMD9_YEAST	NAS2 YIL007C	854810;
P39548	YAJ8_YEAST	YAR028W FUN56	851280;
P22007	FNTB_YEAST	RAM1 DPR1 SCG2 STE16 YDL090C D2412	851468;
P47023	YJ41A_YEAST	TY4A-J YJLWTy4-1 GAG YJL114W J0775	853329;
P35210	SPT23_YEAST	SPT23 YKL020C	853848;
Q07527	TRM3_YEAST	TRM3 YDL112W	851446;
P32604	F26_YEAST	FBP26 YJL155C J0575	853286;
P38346	BIT2_YEAST	BIT2 YBR270C YBR1738	852573;
P50263	SIP18_YEAST	SIP18 YMR175W YM8010.05	855213;
P36143	GLG1_YEAST	GLG1 YKR058W	853932;
P32432	SFP1_YEAST	SFP1 YLR403W L8084.4	851119;
Q12178	FCY1_YEAST	FCY1 YPR062W YP9499.17	856175;
P40488	YIK2_YEAST	YIL102C	854704;
P32599	FIMB_YEAST	SAC6 YDR129C YD9302.04C	851707;
P46671	FAR3_YEAST	FAR3 YMR052W YM9796.05	855073;
P32385	RNP1_YEAST	RNP1 YLL046C	850680;
P35719	MRP8_YEAST	MRP8 YKL142W YKL3	853715;
P0CS90	HSP77_YEAST	SSC1 ENS1 YJR045C J1639	853503;
P05759	RS31_YEAST	RPS31 RPS37 UBI3 YLR167W L9470.14	850864;
Q01589	SED1_YEAST	SED1 YDR077W D4431	851649;
Q6WNK7	SUS1_YEAST	SUS1 YBR111W-A	1466445;
Q99326	YO338_YEAST	YOR338W O6265	854516;
Q12204	YOR22_YEAST	YOR022C OR26.12	854187;
Q99176	SRN2_YEAST	SRN2 SRN10 VPS37 YLR119W L2958 L9233.5	850810;
Q12417	PRP46_YEAST	PRP46 CWC1 NTC50 YPL151C P2594	855952;
Q12292	ATG34_YEAST	ATG34 ATG19-B YOL083W O0957	854071;
